heavy_atom_idx,degree,hybridization,in_ring,is_aromatic,formal_charge,partial_charge,num_H_neighbors,num_heavy_neighbors,neighbor_atomic_nums,neighbor_C_count,neighbor_O_count,neighbor_N_count,neighbor_S_count,neighbor_Halogen_count,dist_to_O,dist_to_N,dist_to_aromatic,in_symmetric_env,ppm,nb_atoms,multiplicity,couplings
5,4,SP3,0,0,0,0.12373605806567559,1,3,"6,8,6",2,1,0,0,0,1,-1,-1,22,74.7,1,s,[]
7,4,SP3,0,0,0,0.14353006250589945,1,3,"6,8,6",2,1,0,0,0,1,-1,-1,21,74.6,1,s,[]
9,3,SP2,0,0,0,0.18878757214720332,0,3,"6,8,6",2,1,0,0,0,1,-1,-1,18,217.4,1,s,[]
11,4,SP3,0,0,0,0.10445981433958179,2,2,"6,8",1,1,0,0,0,1,-1,-1,19,66.2,1,s,[]
1,3,SP2,1,1,0,0.15602770408153124,0,3,"7,6,7",1,0,2,0,0,3,1,1,9,143.11,1,s,[]
2,3,SP2,1,1,0,0.16812369994587079,0,3,"6,6,7",2,0,1,0,0,2,1,1,11,119.9,1,s,[]
3,3,SP2,0,0,0,0.3557175675046464,0,3,"6,8,8",1,2,0,0,0,1,2,1,8,162.7,1,s,[]
7,3,SP2,1,1,0,0.09513487811859415,1,2,"7,7",0,0,2,0,0,4,1,1,10,128.21,1,s,[]
0,4,SP3,0,0,0,-0.03969689034751631,3,1,6,1,0,0,0,0,9,4,1,37,20.45,1,s,[]
1,3,SP2,1,1,0,-0.04902911204457805,0,3,"6,6,6",3,0,0,0,0,8,3,1,30,131.12,1,s,[]
2,3,SP2,1,1,0,-0.03477112264600884,1,2,"6,6",2,0,0,0,0,7,2,1,27,128.1,1,s,[]
3,3,SP2,1,1,0,0.05071165791759318,0,3,"6,7,6",2,0,1,0,0,6,1,1,29,133.3,1,s,[]
5,3,SP2,1,1,0,0.02984602294409139,1,2,"7,6",1,0,1,0,0,6,1,1,33,112.2,1,s,[]
6,3,SP2,1,1,0,0.04651882411047705,1,2,"6,7",1,0,1,0,0,6,1,1,25,128.55,1,s,[]
8,3,SP2,1,1,0,0.17258520110483563,0,3,"7,16,7",0,0,2,1,0,4,1,1,32,159.0,1,s,[]
10,4,SP3,0,0,0,0.0801820787404382,2,2,"16,6",1,0,0,1,0,2,2,2,36,35.5,1,s,[]
11,3,SP2,0,0,0,0.23017359716511834,0,3,"6,8,7",1,1,1,0,0,1,1,3,24,169.1,1,s,[]
14,4,SP3,0,0,0,0.023137031028050887,1,3,"7,6,6",2,0,1,0,0,3,1,5,41,41.400000000000006,1,s,[]
15,4,SP3,0,0,0,-0.04502762407971402,3,1,6,1,0,0,0,0,4,2,6,39,22.65,2,s,[]
16,4,SP3,0,0,0,-0.04502762407971402,3,1,6,1,0,0,0,0,4,2,6,39,22.65,2,s,[]
17,3,SP2,1,1,0,-0.026921033752331427,0,3,"6,6,6",3,0,0,0,0,7,2,1,31,136.0,1,s,[]
18,4,SP3,0,0,0,-0.03769256091922844,3,1,6,1,0,0,0,0,8,3,1,38,17.3,1,s,[]
19,3,SP2,1,1,0,-0.05697104268832359,1,2,"6,6",2,0,0,0,0,8,3,1,28,130.52,1,s,[]
20,3,SP2,1,1,0,-0.05891016192867796,1,2,"6,6",2,0,0,0,0,9,4,1,26,128.3,1,s,[]
1,3,SP2,0,0,0,0.3407231013567524,0,3,"8,8,6",1,2,0,0,0,1,3,1,32,166.15,1,s,[]
3,3,SP2,1,1,0,0.12361270691472136,0,3,"6,6,6",3,0,0,0,0,2,2,1,35,107.6,1,s,[]
4,3,SP2,1,1,0,0.022962976072258758,1,2,"6,7",1,0,1,0,0,3,1,1,38,142.0,1,s,[]
6,4,SP3,1,0,0,0.03364861356619376,1,3,"7,6,6",2,0,1,0,0,5,1,1,56,55.9,1,s,[]
