heavy_atom_idx,degree,hybridization,in_ring,is_aromatic,formal_charge,partial_charge,num_H_neighbors,num_heavy_neighbors,neighbor_atomic_nums,neighbor_C_count,neighbor_O_count,neighbor_N_count,neighbor_S_count,neighbor_Halogen_count,dist_to_O,dist_to_N,dist_to_aromatic,in_symmetric_env,ppm,nb_atoms,multiplicity,couplings
0,4,SP3,0,0,0,0.03592063905613407,3,1,8,0,1,0,0,0,1,9,3,43,58.31,1,s,[]
2,4,SP3,0,0,0,0.0759350372984667,2,2,"8,6",1,1,0,0,0,1,7,1,45,60.59,1,s,[]
3,3,SP2,1,1,0,0.03896333613598391,0,3,"6,6,6",3,0,0,0,0,2,6,1,39,112.6,1,s,[]
4,3,SP2,1,1,0,0.21793527517724437,0,3,"6,6,8",2,1,0,0,0,1,5,1,34,141.7,1,s,[]
5,3,SP2,0,0,0,0.3746709230380378,0,3,"6,8,8",1,2,0,0,0,1,4,1,32,159.60000000000002,1,s,[]
8,4,SP3,0,0,0,0.17005935733484986,2,2,"8,6",1,1,0,0,0,1,2,3,44,65.2,1,s,[]
9,3,SP2,0,0,0,0.25779933555316736,0,3,"6,8,7",1,1,1,0,0,1,1,4,33,169.1,1,s,[]
12,4,SP3,1,0,0,0.03170060623392419,1,3,"7,6,6",2,0,1,0,0,3,1,6,53,56.2,1,s,[]
13,4,SP3,1,0,0,-0.0325004833745855,2,2,"6,6",2,0,0,0,0,4,2,7,50,31.1,1,s,[]
14,4,SP3,1,0,0,-0.05107965016581445,2,2,"6,6",2,0,0,0,0,5,3,8,46,21.85,1,s,[]
15,4,SP3,1,0,0,-0.050304384904126115,2,2,"6,6",2,0,0,0,0,6,4,9,48,32.9,1,s,[]
16,4,SP3,1,0,0,-0.039744704287054684,1,3,"6,6,6",3,0,0,0,0,5,3,8,51,39.27,1,s,[]
17,4,SP3,0,0,0,-0.062178237230221506,3,1,6,1,0,0,0,0,6,4,9,47,21.13,1,s,[]
18,4,SP3,1,0,0,-0.021277424603276668,1,3,"6,6,6",3,0,0,0,0,4,2,7,52,36.650000000000006,1,s,[]
19,4,SP3,0,0,0,-0.06029341395042307,3,1,6,1,0,0,0,0,5,3,8,49,14.8,1,s,[]
21,3,SP2,1,1,0,0.13507465215829592,0,3,"8,6,6",2,1,0,0,0,1,7,1,40,154.4,1,s,[]
22,3,SP2,1,1,0,-0.018657663095275414,1,2,"6,6",2,0,0,0,0,2,8,1,37,112.3,1,s,[]
23,3,SP2,1,1,0,-0.05851758656403925,1,2,"6,6",2,0,0,0,0,3,9,1,35,126.8,1,s,[]
24,3,SP2,1,1,0,-0.06138700026221754,1,2,"6,6",2,0,0,0,0,4,9,1,36,123.6,1,s,[]
25,3,SP2,1,1,0,-0.050726498059098235,1,2,"6,6",2,0,0,0,0,3,8,1,38,121.6,1,s,[]
26,3,SP2,1,1,0,0.026715273731706644,0,3,"6,6,6",3,0,0,0,0,2,7,1,41,128.0,1,s,[]
0,4,SP3,0,0,0,-0.04509892461248897,3,1,6,1,0,0,0,0,3,-1,-1,11,14.0,1,s,[]
1,4,SP3,0,0,0,0.10927644817541353,1,3,"6,6,6",3,0,0,0,0,2,-1,-1,12,45.6,1,s,[]
2,3,SP2,0,0,0,0.13342587943612574,1,2,"6,8",1,1,0,0,0,1,-1,-1,9,193.1,1,s,[]
4,3,SP2,0,0,0,0.31294252448406973,0,3,"6,8,8",1,2,0,0,0,1,-1,-1,10,177.1,1,s,[]
0,4,SP3,0,0,0,0.07750710185433696,3,1,8,0,1,0,0,0,1,8,2,39,55.5,1,s,[]
2,3,SP2,1,1,0,0.11909710930686708,0,3,"8,6,6",2,1,0,0,0,1,6,1,33,159.89,1,s,[]
3,3,SP2,1,1,0,-0.019936611314167095,1,2,"6,6",2,0,0,0,0,2,7,1,27,118.05,1,s,[]
4,3,SP2,1,1,0,-0.057849935815279835,1,2,"6,6",2,0,0,0,0,3,6,1,26,129.53,1,s,[]
5,3,SP2,1,1,0,-0.05079354308667661,1,2,"6,6",2,0,0,0,0,3,5,1,29,126.92,1,s,[]
6,3,SP2,1,1,0,0.025588282947266765,0,3,"6,6,6",3,0,0,0,0,2,4,1,36,137.19,1,s,[]
7,3,SP2,0,0,0,0.1871757629530303,0,3,"6,8,6",2,1,0,0,0,1,3,1,23,187.05,1,s,[]
9,3,SP2,0,0,0,0.004729347548603483,1,2,"6,6",2,0,0,0,0,2,2,2,24,114.6,1,s,[]
10,3,SP2,0,0,0,0.011695901848835101,0,3,"6,6,7",2,0,1,0,0,3,1,3,25,159.4,1,s,[]
11,4,SP3,0,0,0,-0.02464547871454771,3,1,6,1,0,0,0,0,4,2,4,41,19.9,1,s,[]
13,4,SP3,0,0,0,0.039865251411339994,2,2,"7,6",1,0,1,0,0,4,1,1,42,43.72,1,s,[]
14,3,SP2,1,1,0,-0.024957034247535318,0,3,"6,6,6",3,0,0,0,0,3,2,1,37,134.3,1,s,[]
15,3,SP2,1,1,0,-0.01090147877883564,1,2,"6,6",2,0,0,0,0,2,3,1,32,108.0,1,s,[]
16,3,SP2,1,1,0,0.16563475534018107,0,3,"6,6,8",2,1,0,0,0,1,4,1,35,147.7,1,s,[]
17,3,SP2,1,1,0,0.16531504893821142,0,3,"6,6,8",2,1,0,0,0,1,5,1,34,146.5,1,s,[]
18,3,SP2,1,1,0,-0.015556871784981535,1,2,"6,6",2,0,0,0,0,2,4,1,28,108.5,1,s,[]
19,3,SP2,1,1,0,-0.053295181309985104,1,2,"6,6",2,0,0,0,0,3,3,1,31,121.2,1,s,[]
21,4,SP3,1,0,0,0.23080037135507026,2,2,"8,8",0,2,0,0,0,1,6,2,40,101.13,1,s,[]
23,3,SP2,1,1,0,-0.008803733612187751,1,2,"6,6",2,0,0,0,0,2,5,1,30,112.87,1,s,[]
1,3,SP2,0,0,0,0.30316747075417905,0,3,"8,8,6",1,2,0,0,0,1,-1,-1,16,177.4,1,s,[]
3,4,SP3,0,0,0,0.04914638184920232,2,2,"6,6",2,0,0,0,0,2,-1,-1,21,30.5,1,s,[]
4,4,SP3,0,0,0,-0.018546015068739447,2,2,"6,6",2,0,0,0,0,3,-1,-1,22,34.4,1,s,[]
5,3,SP2,1,0,0,-0.038433563380980716,0,3,"6,6,6",3,0,0,0,0,2,-1,-1,20,137.05,1,s,[]
6,3,SP2,1,0,0,-0.06058708233080931,1,2,"6,6",2,0,0,0,0,3,-1,-1,18,121.0,1,s,[]
7,3,SP2,1,0,0,-0.0635563991727945,1,2,"6,6",2,0,0,0,0,3,-1,-1,17,125.4,1,s,[]
8,3,SP2,1,0,0,-0.053266307968839265,1,2,"6,6",2,0,0,0,0,2,-1,-1,19,127.3,1,s,[]
9,4,SP3,1,0,0,0.1021303720594936,1,3,"6,8,6",2,1,0,0,0,1,-1,-1,23,73.1,1,s,[]
11,4,SP3,1,0,0,0.10478668515428126,1,3,"6,8,6",2,1,0,0,0,1,-1,-1,24,73.5,1,s,[]
1,3,SP2,1,0,0,0.23997219779173748,0,3,"8,6,7",1,1,1,0,0,1,1,9,27,167.1,1,s,[]
2,4,SP3,1,0,0,0.03417741613619088,2,2,"6,6",2,0,0,0,0,2,2,8,44,26.0,1,s,[]
3,4,SP3,1,0,0,0.00764915149530961,2,2,"6,6",2,0,0,0,0,3,2,7,45,21.0,1,s,[]
4,3,SP2,1,0,0,0.14600432145520523,0,3,"6,6,7",2,0,1,0,0,2,1,6,28,144.0,1,s,[]
5,3,SP2,0,0,0,0.35451599908347653,0,3,"6,8,8",1,2,0,0,0,1,2,5,25,166.9,1,s,[]
8,4,SP3,0,0,0,0.17058656362456898,2,2,"8,6",1,1,0,0,0,1,2,3,43,65.2,1,s,[]
9,3,SP2,0,0,0,0.26518421936048436,0,3,"6,8,7",1,1,1,0,0,1,1,2,26,169.7,1,s,[]
12,3,SP2,1,1,0,0.05806824459129639,0,3,"7,6,6",2,0,1,0,0,3,1,1,39,141.6,1,s,[]
13,3,SP2,1,1,0,-0.03713573712793187,1,2,"6,6",2,0,0,0,0,4,2,1,35,116.0,1,s,[]
14,3,SP2,1,1,0,-0.06011232760427462,1,2,"6,6",2,0,0,0,0,5,3,1,31,131.9,1,s,[]
15,3,SP2,1,1,0,-0.06100121226221201,1,2,"6,6",2,0,0,0,0,6,4,1,30,125.3,1,s,[]
16,3,SP2,1,1,0,-0.04648064529053869,1,2,"6,6",2,0,0,0,0,5,3,1,34,125.8,1,s,[]
17,3,SP2,1,1,0,0.03114381857653242,0,3,"6,16,6",2,0,0,1,0,4,2,1,38,126.4,1,s,[]
19,4,SP3,1,0,0,0.02328829826197563,2,2,"16,6",1,0,0,1,0,4,2,2,46,31.9,1,s,[]
20,4,SP3,1,0,0,0.0713899213713688,1,3,"6,6,7",2,0,1,0,0,3,1,1,47,61.55,1,s,[]
21,3,SP2,1,1,0,-0.024238403143004548,0,3,"6,6,6",3,0,0,0,0,4,2,1,40,137.09,1,s,[]
22,3,SP2,1,1,0,-0.056920525317461584,1,2,"6,6",2,0,0,0,0,5,3,1,36,127.4,2,s,[]
23,3,SP2,1,1,0,-0.061915646733441576,1,2,"6,6",2,0,0,0,0,6,4,1,32,128.99,2,s,[]
24,3,SP2,1,1,0,-0.062246125559054,1,2,"6,6",2,0,0,0,0,7,5,1,29,127.80000000000001,1,s,[]
25,3,SP2,1,1,0,-0.061915646733441576,1,2,"6,6",2,0,0,0,0,6,4,1,32,128.99,2,s,[]
26,3,SP2,1,1,0,-0.056920525317461584,1,2,"6,6",2,0,0,0,0,5,3,1,36,127.4,2,s,[]
1,3,SP2,0,0,0,0.37606782915289416,0,3,"8,8,6",1,2,0,0,0,1,-1,6,14,170.39,1,s,[]
3,3,SP2,0,0,0,0.2621221493222933,0,3,"6,8,6",2,1,0,0,0,1,-1,5,15,181.9,1,s,[]
5,3,SP2,0,0,0,-0.010448372110202182,1,2,"6,6",2,0,0,0,0,2,-1,4,17,121.9,1,s,[]
6,3,SP2,0,0,0,-0.07265197098604056,1,2,"6,6",2,0,0,0,0,3,-1,3,18,131.14999999999998,1,s,[]
7,4,SP3,0,0,0,0.029366982174843258,2,2,"6,6",2,0,0,0,0,2,-1,2,25,42.0,1,s,[]
8,3,SP2,0,0,0,0.16612833821838552,0,3,"6,8,6",2,1,0,0,0,1,-1,1,16,199.6,1,s,[]
10,3,SP2,1,1,0,0.01782214270422214,0,3,"6,6,6",3,0,0,0,0,2,-1,1,24,137.05,1,s,[]
11,3,SP2,1,1,0,-0.051406676916402196,1,2,"6,6",2,0,0,0,0,3,-1,1,22,128.6,2,s,[]
12,3,SP2,1,1,0,-0.06154510974687808,1,2,"6,6",2,0,0,0,0,4,-1,1,20,128.3,2,s,[]
13,3,SP2,1,1,0,-0.062221943393913015,1,2,"6,6",2,0,0,0,0,5,-1,1,19,131.9,1,s,[]
14,3,SP2,1,1,0,-0.06154510974687808,1,2,"6,6",2,0,0,0,0,4,-1,1,20,128.3,2,s,[]
15,3,SP2,1,1,0,-0.051406676916402196,1,2,"6,6",2,0,0,0,0,3,-1,1,22,128.6,2,s,[]
0,3,SP2,1,1,0,0.11742325959382711,1,2,"7,7",0,0,2,0,0,-1,1,1,10,159.07999999999998,1,s,[]
2,3,SP2,1,1,0,0.05561906890219395,1,2,"7,6",1,0,1,0,0,-1,1,1,11,148.2,1,s,[]
3,3,SP2,1,1,0,0.09582497536943703,0,3,"6,7,6",2,0,1,0,0,-1,1,1,13,138.75,1,s,[]
5,4,SP3,1,0,0,0.032243946766748,2,2,"7,6",1,0,1,0,0,-1,1,2,17,41.5,1,s,[]
6,4,SP3,1,0,0,0.03351308743190919,2,2,"6,7",1,0,1,0,0,-1,1,2,16,40.9,1,s,[]
8,3,SP2,1,1,0,0.15242027350167273,0,3,"7,7,6",1,0,2,0,0,-1,1,1,12,139.7,1,s,[]
0,4,SP3,0,0,0,-0.03065091384104057,3,1,6,1,0,0,0,0,2,7,3,46,14.7,1,s,[]
1,4,SP3,0,0,0,0.08537231072736479,2,2,"6,8",1,1,0,0,0,1,6,2,47,63.66,1,s,[]
3,3,SP2,1,1,0,0.1189219014352716,0,3,"8,6,6",2,1,0,0,0,1,4,1,36,154.5,1,s,[]
4,3,SP2,1,1,0,-0.01790275886598986,1,2,"6,6",2,0,0,0,0,2,3,1,32,114.19,2,s,[]
5,3,SP2,1,1,0,-0.03485280573802708,1,2,"6,6",2,0,0,0,0,3,2,1,34,122.05,2,s,[]
6,3,SP2,1,1,0,0.04107109681511374,0,3,"6,7,6",2,0,1,0,0,3,1,1,37,140.2,1,s,[]
8,3,SP2,0,0,0,0.2647670414078934,0,3,"7,8,6",1,1,1,0,0,1,1,2,30,170.12,1,s,[]
10,4,SP3,0,0,0,0.17734095141223152,1,3,"6,6,8",2,1,0,0,0,1,2,3,49,74.475,1,s,[]
11,4,SP3,0,0,0,-0.018330726362849062,3,1,6,1,0,0,0,0,2,3,4,48,17.93,1,s,[]
13,3,SP2,0,0,0,0.3280585180863794,0,3,"8,8,6",1,2,0,0,0,1,2,2,29,171.73,1,s,[]
15,4,SP3,0,0,0,0.13912473145665072,2,2,"6,7",1,0,1,0,0,2,1,1,45,50.400000000000006,1,s,[]
18,3,SP2,1,1,0,0.1371554950752562,0,3,"7,6,6",2,0,1,0,0,3,1,1,31,149.8,1,s,[]
19,4,SP3,0,0,0,-0.013323944211658972,3,1,6,1,0,0,0,0,4,2,1,43,11.649999999999999,1,s,[]
20,3,SP2,1,1,0,0.31225936279569977,0,3,"6,7,6",2,0,1,0,0,2,1,1,38,128.35,1,s,[]
24,3,SP2,1,1,0,0.11389158942125253,0,3,"6,6,7",2,0,1,0,0,3,1,1,39,136.3,1,s,[]
25,4,SP3,0,0,0,-0.015513240904863999,3,1,6,1,0,0,0,0,4,2,1,44,11.2,1,s,[]
26,3,SP2,1,1,0,-0.03485280573802708,1,2,"6,6",2,0,0,0,0,3,2,1,34,122.05,2,s,[]
27,3,SP2,1,1,0,-0.01790275886598986,1,2,"6,6",2,0,0,0,0,2,3,1,32,114.19,2,s,[]
0,4,SP3,0,0,0,-0.06538238322279266,3,1,6,1,0,0,0,0,14,12,-1,45,14.05,1,s,[]
1,4,SP3,0,0,0,-0.056171667063192945,2,2,"6,6",2,0,0,0,0,13,11,-1,49,22.65,1,s,[]
2,4,SP3,0,0,0,-0.053568642724643206,2,2,"6,6",2,0,0,0,0,12,10,-1,50,31.91,1,s,[]
3,4,SP3,0,0,0,-0.05331603226985486,2,2,"6,6",2,0,0,0,0,11,9,-1,51,29.4,1,s,[]
4,4,SP3,0,0,0,-0.05330614506292663,2,2,"6,6",2,0,0,0,0,10,8,-1,52,29.64,1,s,[]
5,4,SP3,0,0,0,-0.053305974047874016,2,2,"6,6",2,0,0,0,0,9,7,-1,53,29.66,1,s,[]
6,4,SP3,0,0,0,-0.05330594204121095,2,2,"6,6",2,0,0,0,0,8,6,-1,54,29.66,1,s,[]
7,4,SP3,0,0,0,-0.05330216603813894,2,2,"6,6",2,0,0,0,0,7,5,-1,55,29.66,1,s,[]
8,4,SP3,0,0,0,-0.05308893073004974,2,2,"6,6",2,0,0,0,0,6,4,-1,56,29.27,1,s,[]
9,4,SP3,0,0,0,-0.04795291610241698,2,2,"6,6",2,0,0,0,0,5,3,-1,57,22.835,1,s,[]
10,4,SP3,0,0,0,-0.0033921086878128206,2,2,"6,6",2,0,0,0,0,4,2,-1,59,26.305,1,s,[]
11,4,SP3,0,0,0,0.08001504452186256,2,2,"6,7",1,0,1,0,0,3,1,-1,64,63.63,1,s,[]
13,4,SP3,0,0,0,0.0696946890425384,3,1,7,0,0,1,0,0,3,1,-1,61,50.83,2,s,[]
14,4,SP3,0,0,0,0.0696946890425384,3,1,7,0,0,1,0,0,3,1,-1,61,50.83,2,s,[]
15,4,SP3,0,0,0,0.18222113042051385,2,2,"7,8",0,1,1,0,0,1,1,-1,63,39.0,1,s,[]
17,4,SP3,0,0,0,0.052888127835837025,2,2,"8,6",1,1,0,0,0,1,3,-1,48,69.41,1,s,[]
18,4,SP3,0,0,0,-0.027034367095298214,2,2,"6,6",2,0,0,0,0,2,4,-1,58,38.644999999999996,1,s,[]
19,4,SP3,0,0,0,-0.04493924089211066,1,3,"6,6,6",3,0,0,0,0,3,5,-1,60,25.16,1,s,[]
20,4,SP3,0,0,0,-0.06268902435610807,3,1,6,1,0,0,0,0,4,6,-1,46,22.5,2,s,[]
21,4,SP3,0,0,0,-0.06268902435610807,3,1,6,1,0,0,0,0,4,6,-1,46,22.5,2,s,[]
1,3,SP2,1,0,0,0.23997219779173745,0,3,"8,6,7",1,1,1,0,0,1,1,-1,28,167.1,1,s,[]
2,4,SP3,1,0,0,0.034177416136176114,2,2,"6,6",2,0,0,0,0,2,2,-1,33,26.0,1,s,[]
3,4,SP3,1,0,0,0.007649151487423584,2,2,"6,6",2,0,0,0,0,3,2,-1,34,21.0,1,s,[]
4,3,SP2,1,0,0,0.1460043195289095,0,3,"6,6,7",2,0,1,0,0,2,1,-1,29,144.0,1,s,[]
5,3,SP2,0,0,0,0.35451577974674114,0,3,"6,8,8",1,2,0,0,0,1,2,-1,26,166.9,1,s,[]
8,4,SP3,0,0,0,0.17021635433786664,2,2,"8,6",1,1,0,0,0,1,2,-1,32,65.2,1,s,[]
9,3,SP2,0,0,0,0.26066945036914285,0,3,"6,8,7",1,1,1,0,0,1,1,-1,27,169.5,1,s,[]
12,4,SP3,1,0,0,0.03226253637658764,1,3,"7,6,6",2,0,1,0,0,3,1,-1,37,29.450000000000003,1,s,[]
13,4,SP3,1,0,0,-0.030594146450306114,2,2,"6,6",2,0,0,0,0,4,2,-1,35,7.800000000000001,1,s,[]
14,4,SP3,1,0,0,-0.030594146450306114,2,2,"6,6",2,0,0,0,0,4,2,-1,35,7.800000000000001,1,s,[]
15,4,SP3,1,0,0,0.04700700376351884,1,3,"7,6,6",2,0,1,0,0,3,1,-1,41,69.99,1,s,[]
16,4,SP3,1,0,0,-0.017503869718940523,2,2,"6,6",2,0,0,0,0,3,2,-1,38,28.9,1,s,[]
17,4,SP3,1,0,0,0.05222911832882463,2,2,"6,16",1,0,0,1,0,2,3,-1,39,51.650000000000006,1,s,[]
21,4,SP3,1,0,0,0.07068788675320058,2,2,"16,6",1,0,0,1,0,2,2,-1,40,56.0,1,s,[]
1,3,SP2,0,0,0,0.14954802883036308,1,2,"8,6",1,1,0,0,0,1,-1,1,7,192.0,1,s,[]
2,3,SP2,1,1,0,0.014242747528928274,0,3,"6,6,6",3,0,0,0,0,2,-1,1,13,136.7,1,s,[]
3,3,SP2,1,1,0,-0.05171028990534094,1,2,"6,6",2,0,0,0,0,3,-1,1,11,129.7,2,s,[]
4,3,SP2,1,1,0,-0.06155603261835479,1,2,"6,6",2,0,0,0,0,4,-1,1,9,129.0,2,s,[]
5,3,SP2,1,1,0,-0.06222230142292324,1,2,"6,6",2,0,0,0,0,5,-1,1,8,128.115,1,s,[]
6,3,SP2,1,1,0,-0.06155603261835479,1,2,"6,6",2,0,0,0,0,4,-1,1,9,129.0,2,s,[]
7,3,SP2,1,1,0,-0.05171028990534094,1,2,"6,6",2,0,0,0,0,3,-1,1,11,129.7,2,s,[]
0,4,SP3,0,0,0,-0.031120457580248423,3,1,6,1,0,0,0,0,2,-1,-1,20,26.3,1,s,[]
1,4,SP3,0,0,0,0.1128858920416187,0,4,"6,8,6,6",3,1,0,0,0,1,-1,-1,24,73.72999999999999,1,s,[]
3,4,SP3,0,0,0,0.07426405573835569,2,2,"6,8",1,1,0,0,0,1,-1,-1,22,70.1,1,s,[]
5,4,SP3,0,0,0,0.10856564163894135,1,3,"6,8,6",2,1,0,0,0,1,-1,-1,23,73.6,1,s,[]
7,4,SP3,0,0,0,0.0874525421501732,2,2,"6,8",1,1,0,0,0,1,-1,-1,21,69.23,1,s,[]
0,4,SP3,0,0,0,0.07751362012550876,3,1,8,0,1,0,0,0,1,10,2,35,55.6,1,s,[]
2,3,SP2,1,1,0,0.12579375458437117,0,3,"8,6,6",2,1,0,0,0,1,8,1,31,166.0,1,s,[]
3,3,SP2,1,1,0,0.02300074684241383,1,2,"6,6",2,0,0,0,0,2,7,1,29,96.3,1,s,[]
4,3,SP2,1,1,0,0.13334262825237525,0,3,"6,8,6",2,1,0,0,0,1,6,1,32,166.1,1,s,[]
6,3,SP2,1,1,0,0.10153298707179431,0,3,"6,6,6",3,0,0,0,0,2,5,1,34,106.0,1,s,[]
7,3,SP2,0,0,0,0.1700784393589662,0,3,"6,8,6",2,1,0,0,0,1,4,1,28,206.3,1,s,[]
9,4,SP3,0,0,0,0.016450684507784294,2,2,"6,6",2,0,0,0,0,2,3,2,37,38.435,1,s,[]
10,4,SP3,0,0,0,0.003746462360466214,2,2,"6,6",2,0,0,0,0,3,2,3,38,29.4,1,s,[]
11,4,SP3,0,0,0,0.07748772529728297,2,2,"6,7",1,0,1,0,0,4,1,4,41,55.59,1,s,[]
13,4,SP3,1,0,0,0.07726653660226956,2,2,"7,6",1,0,1,0,0,6,1,6,42,54.17,2,s,[]
14,4,SP3,1,0,0,0.0018151726202688514,2,2,"6,6",2,0,0,0,0,7,2,7,39,23.24,2,s,[]
15,4,SP3,1,0,0,0.0018151726202688514,2,2,"6,6",2,0,0,0,0,7,2,7,39,23.24,2,s,[]
16,4,SP3,1,0,0,0.07726653660226956,2,2,"6,7",1,0,1,0,0,6,1,6,42,54.17,2,s,[]
17,3,SP2,1,1,0,0.13661523803225017,0,3,"6,8,6",2,1,0,0,0,1,6,1,33,162.5,1,s,[]
19,4,SP3,0,0,0,0.07755034354926943,3,1,8,0,1,0,0,0,1,8,2,36,56.12,1,s,[]
20,3,SP2,1,1,0,0.023245155907534662,1,2,"6,6",2,0,0,0,0,2,7,1,30,91.1,1,s,[]
0,4,SP3,0,0,0,0.06829479173900488,3,1,7,0,0,1,0,0,2,1,3,23,33.6,1,s,[]
3,4,SP3,1,0,0,0.07885312980334941,2,2,"7,6",1,0,1,0,0,2,1,3,24,49.8,1,s,[]
4,4,SP3,1,0,0,0.0028520851366637587,2,2,"6,6",2,0,0,0,0,3,2,3,21,23.5,1,s,[]
5,4,SP3,1,0,0,0.009626174943981235,2,2,"6,6",2,0,0,0,0,3,2,2,22,34.4,1,s,[]
6,4,SP3,1,0,0,0.11586686891137933,1,3,"6,6,7",2,0,1,0,0,2,1,1,25,63.55,1,s,[]
7,3,SP2,1,1,0,0.027942368959081327,0,3,"6,6,6",3,0,0,0,0,3,2,1,20,139.1,1,s,[]
8,3,SP2,1,1,0,0.035895861293351566,1,2,"6,7",1,0,1,0,0,4,1,1,17,149.6,1,s,[]
10,3,SP2,1,1,0,0.026759566824780135,1,2,"7,6",1,0,1,0,0,6,1,1,16,148.55,1,s,[]
11,3,SP2,1,1,0,-0.04331257124070103,1,2,"6,6",2,0,0,0,0,5,2,1,18,123.6,1,s,[]
12,3,SP2,1,1,0,-0.05000079862517009,1,2,"6,6",2,0,0,0,0,4,3,1,19,135.0,1,s,[]
0,4,SP3,0,0,0,-0.03977376107113924,3,1,6,1,0,0,0,0,6,6,1,50,21.4,1,s,[]
1,3,SP2,1,1,0,-0.05108426335264347,0,3,"6,6,6",3,0,0,0,0,5,5,1,41,142.7,1,s,[]
2,3,SP2,1,1,0,-0.05853135435770696,1,2,"6,6",2,0,0,0,0,4,4,1,37,128.8,2,s,[]
3,3,SP2,1,1,0,-0.04920009940852339,1,2,"6,6",2,0,0,0,0,3,3,1,33,127.7,2,s,[]
4,3,SP2,1,1,0,0.03938140629183973,0,3,"6,6,6",3,0,0,0,0,2,2,1,39,122.6,1,s,[]
5,3,SP2,0,0,0,0.25248928757043193,0,3,"6,8,7",1,1,1,0,0,1,1,1,28,166.55,1,s,[]
8,4,SP3,0,0,0,0.14906156482853258,1,3,"7,7,6",1,0,2,0,0,3,1,3,54,111.6,1,s,[]
10,3,SP2,0,0,0,0.1721988301175265,0,3,"7,16,7",0,0,2,1,0,4,1,2,29,180.695,1,s,[]
13,3,SP2,1,1,0,0.12947564049423424,0,3,"7,6,6",2,0,1,0,0,2,1,1,42,108.53,1,s,[]
14,3,SP2,1,1,0,0.06117766110016902,0,3,"6,6,7",2,0,1,0,0,3,1,1,43,150.64,1,s,[]
15,4,SP3,0,0,0,-0.020339535129079645,3,1,6,1,0,0,0,0,4,2,1,51,12.0,1,s,[]
17,4,SP3,0,0,0,0.028611549582675595,3,1,7,0,0,1,0,0,4,1,1,52,35.72,1,s,[]
19,3,SP2,1,1,0,0.06671833708373634,0,3,"7,6,6",2,0,1,0,0,3,1,1,40,134.46,1,s,[]
20,3,SP2,1,1,0,-0.03629495169749414,1,2,"6,6",2,0,0,0,0,4,2,1,35,123.89500000000001,2,s,[]
21,3,SP2,1,1,0,-0.0601201367164807,1,2,"6,6",2,0,0,0,0,5,3,1,31,128.9,2,s,[]
22,3,SP2,1,1,0,-0.06211475237423631,1,2,"6,6",2,0,0,0,0,6,4,1,30,126.955,1,s,[]
23,3,SP2,1,1,0,-0.0601201367164807,1,2,"6,6",2,0,0,0,0,5,3,1,31,128.9,2,s,[]
24,3,SP2,1,1,0,-0.03629495169749414,1,2,"6,6",2,0,0,0,0,4,2,1,35,123.89500000000001,2,s,[]
25,3,SP2,1,1,0,0.29494660100128783,0,3,"7,8,6",1,1,1,0,0,1,1,1,44,170.36,1,s,[]
27,4,SP3,0,0,0,0.22808147334980367,0,4,"6,17,17,17",1,0,0,0,3,4,2,4,53,100.9,1,s,[]
31,3,SP2,1,1,0,-0.04920009940852339,1,2,"6,6",2,0,0,0,0,3,3,1,33,127.7,2,s,[]
32,3,SP2,1,1,0,-0.05853135435770696,1,2,"6,6",2,0,0,0,0,4,4,1,37,128.8,2,s,[]
0,4,SP3,0,0,0,-0.030522463674179733,3,1,6,1,0,0,0,0,2,6,4,48,14.3,1,s,[]
1,4,SP3,0,0,0,0.08882258487017691,2,2,"6,8",1,1,0,0,0,1,5,3,53,59.5,1,s,[]
3,3,SP2,0,0,0,0.3412819476848534,0,3,"8,8,6",1,2,0,0,0,1,3,1,32,165.7,1,s,[]
5,3,SP2,1,1,0,0.10214093017425913,0,3,"6,6,6",3,0,0,0,0,2,2,1,42,108.9,1,s,[]
6,3,SP2,1,1,0,0.10981187593969019,0,3,"6,7,16",1,0,1,1,0,3,1,1,36,156.665,1,s,[]
8,3,SP2,0,0,0,0.17262908359673718,0,3,"7,16,7",0,0,2,1,0,5,1,2,34,180.695,1,s,[]
11,4,SP3,0,0,0,0.14881056166660347,1,3,"7,7,6",1,0,2,0,0,3,1,4,54,111.6,1,s,[]
13,3,SP2,0,0,0,0.22658331416826125,0,3,"7,8,6",1,1,1,0,0,1,1,6,33,177.1,1,s,[]
15,4,SP3,0,0,0,0.04080242740794271,0,4,"6,6,6,6",4,0,0,0,0,2,2,7,55,38.650000000000006,1,s,[]
16,4,SP3,0,0,0,-0.0513151832026828,3,1,6,1,0,0,0,0,3,3,8,49,27.2,3,s,[]
17,4,SP3,0,0,0,-0.0513151832026828,3,1,6,1,0,0,0,0,3,3,8,49,27.2,3,s,[]
18,4,SP3,0,0,0,-0.0513151832026828,3,1,6,1,0,0,0,0,3,3,8,49,27.2,3,s,[]
19,4,SP3,0,0,0,0.22807193550224694,0,4,"6,17,17,17",1,0,0,0,3,4,2,5,52,100.9,1,s,[]
24,3,SP2,1,1,0,0.0016243204546458104,1,2,"16,6",1,0,0,1,0,4,3,1,35,105.1,1,s,[]
25,3,SP2,1,1,0,0.009143261126340159,0,3,"6,6,6",3,0,0,0,0,3,3,1,44,140.5,1,s,[]
26,3,SP2,1,1,0,-0.016614188147042783,0,3,"6,6,6",3,0,0,0,0,4,4,1,43,138.2,1,s,[]
